"Part";"Value";"Device";"Package";"Description";"";
"LED81";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED82";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED83";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED84";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED85";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED86";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED87";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED88";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED89";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED90";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED91";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED92";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED93";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED94";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED95";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED96";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED97";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED98";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED99";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED100";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED101";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED102";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED103";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED104";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED105";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED106";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED107";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED108";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED109";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED110";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED111";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED112";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED113";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED114";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED115";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED116";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED117";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED118";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED119";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED120";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED121";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED122";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED123";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED124";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED125";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
"LED126";"";"LEDKA-3528ASYC";"KA-3528ASYC";"LED";"";
